$LINK:NO	NAME	LINKBEHAVTYPE	DISPLAYTYPE	LEVEL	LENGTH2D	WKTLOCWGS84	WKTPOLYLINEWGS84
1	Ballarat Rd  Western Hwy	1	1	1	42.812	POINT(144.7409590993 -37.7563740309)	LINESTRING(144.7407364841 -37.7562961739,144.7411817144 -37.7564518878)
2	Ballarat Rd  Western Hwy	1	1	1	24.236	POINT(144.7411609059 -37.7561838649)	LINESTRING(144.7410348760 -37.7561397948,144.7412869358 -37.7562279349)
3		1	1	1	11.4	POINT(144.7413030208 -37.7563730954)	LINESTRING(144.7412927062 -37.7563225004,144.7413133355 -37.7564236903)
4	Caroline Springs Blvd	1	1	1	16.276	POINT(144.7398892434 -37.7547047066)	LINESTRING(144.7398967239 -37.7546317770,144.7398817629 -37.7547776361)
10	Ballarat Rd  Western Hwy	1	1	1	114.653	POINT(144.7492094893 -37.7596918083)	LINESTRING(144.7486441331 -37.7594351977,144.7497748456 -37.7599484181)
11	Ballarat Rd  Western Hwy	1	1	1	37.451	POINT(144.7501783724 -37.7601218225)	LINESTRING(144.7499926551 -37.7600394547,144.7503640897 -37.7602041902)
12	Hopkins Rd	1	1	1	77.257	POINT(144.7017107151 -37.7487398450)	LINESTRING(144.7019154393 -37.7490480833,144.7018038387 -37.7488606396,144.7017048734 -37.7487103695,144.7015880853 -37.7485373039,144.7015032082 -37.7484355255)
21	Norton Dr	1	1	1	58.148	POINT(144.6024584455 -37.6891462783)	LINESTRING(144.6022068720 -37.6889765110,144.6027100190 -37.6893160452)
33	Neales Rd W	1	1	1	564.499	POINT(144.6970392721 -37.7405207276)	LINESTRING(144.6938571459 -37.7401887926,144.7002213983 -37.7408526612)
34	Neales Rd W	1	1	1	634.938	POINT(144.6974273259 -37.7406308805)	LINESTRING(144.7010063459 -37.7410053169,144.6938483059 -37.7402564421)
35	Neales Rd W	1	1	1	108.844	POINT(144.7020774385 -37.7410625827)	LINESTRING(144.7014637643 -37.7409992380,144.7026911126 -37.7411259274)
36	Neales Rd W	1	1	1	341.217	POINT(144.7045929874 -37.7413849864)	LINESTRING(144.7065149840 -37.7415942724,144.7026709907 -37.7411756998)
43	Hopkins Rd	1	1	1	365.776	POINT(144.7007160963 -37.7452650476)	LINESTRING(144.7007445645 -37.7436294380,144.7007239025 -37.7437572505,144.7006903435 -37.7440032921,144.7006608370 -37.7442445673,144.7006418429 -37.7444143673,144.7006262626 -37.7446243698,144.7006089973 -37.7449334584,144.7005989552 -37.7452081323,144.7006378695 -37.7459203428,144.7006887355 -37.7463050716,144.7007225101 -37.7465176739,144.7008337589 -37.7468990800)
