$LINK:NO	NAME	LINKBEHAVTYPE	DISPLAYTYPE	LEVEL	LENGTH2D	WKTLOCWGS84	WKTPOLYLINEWGS84
1	Ballarat Rd  Western Hwy	1	1	1	42.812	POINT(144.7409590993 -37.7563740309)	LINESTRING(144.7407364841 -37.7562961739,144.7411817144 -37.7564518878)
2	Ballarat Rd  Western Hwy	1	1	1	24.236	POINT(144.7411609059 -37.7561838649)	LINESTRING(144.7410348760 -37.7561397948,144.7412869358 -37.7562279349)
3		1	1	1	11.400	POINT(144.7413030208 -37.7563730954)	LINESTRING(144.7412927062 -37.7563225004,144.7413133355 -37.7564236903)
4	Caroline Springs Blvd	1	1	1	16.276	POINT(144.7398892434 -37.7547047066)	LINESTRING(144.7398967239 -37.7546317770,144.7398817629 -37.7547776361)
6	Ballarat Rd  Western Hwy EA	83	1	1	130.808	POINT(144.7492721193 -37.7602324834)	LINESTRING(144.7499148338 -37.7605284005,144.7486294047 -37.7599365651)
7	Ballarat Rd  Western Hwy	83	1	1	26.113	POINT(144.7484830808 -37.7597420697)	LINESTRING(144.7485256342 -37.7598545305,144.7484405274 -37.7596296086)
8	Western Fwy	2	2	1	159.664	POINT(144.7012806882 -37.7454112426)	LINESTRING(144.7004661906 -37.7450941965,144.7020951858 -37.7457282874)
9	Western Fwy	3	1	1	1528.756	POINT(144.7104521605 -37.7476695612)	LINESTRING(144.7021411481 -37.7457617401,144.7042866587 -37.7466066427,144.7050382330 -37.7468790222,144.7059020147 -37.7471567598,144.7070018977 -37.7473845748,144.7082847069 -37.7476302148,144.7097135793 -37.7478780553,144.7117740845 -37.7482597969,144.7143966567 -37.7487555464,144.7162546037 -37.7491055745,144.7187717820 -37.7495748730)
10	Ballarat Rd  Western Hwy	1	1	1	114.653	POINT(144.7492094893 -37.7596918083)	LINESTRING(144.7486441331 -37.7594351977,144.7497748456 -37.7599484181)
11	Ballarat Rd  Western Hwy	1	1	1	37.451	POINT(144.7501783724 -37.7601218225)	LINESTRING(144.7499926551 -37.7600394547,144.7503640897 -37.7602041902)
12	Hopkins Rd	1	1	1	73.377	POINT(144.7017192432 -37.7487602335)	LINESTRING(144.7018941994 -37.7490597190,144.7015442870 -37.7484607469)
13	Western Hwy	2	2	1	112.559	POINT(144.6702095531 -37.7346555638)	LINESTRING(144.6707361371 -37.7349432348,144.6696829692 -37.7343678917)
14	Western Hwy	3	1	1	86.947	POINT(144.6730766564 -37.7357671547)	LINESTRING(144.6735327628 -37.7359179799,144.6726205501 -37.7356163291)
15		3	1	1	18.205	POINT(144.6037882939 -37.6973764305)	LINESTRING(144.6038900040 -37.6973713232,144.6038671612 -37.6973753160,144.6038443667 -37.6973797424,144.6038214757 -37.6973833018,144.6037983437 -37.6973846933,144.6037702313 -37.6973826964,144.6037424576 -37.6973780655,144.6037148193 -37.6973723810,144.6036871133 -37.6973672233)
