$LINK:NO	NAME	LINKBEHAVTYPE	DISPLAYTYPE	LEVEL	LENGTH2D	WKTLOCWGS84	WKTPOLYLINEWGS84
1	Ballarat Rd  Western Hwy	1	1	1	42.812	POINT(144.7409590993 -37.7563740309)	LINESTRING(144.7407364841 -37.7562961739,144.7411817144 -37.7564518878)
2	Ballarat Rd  Western Hwy	1	1	1	24.236	POINT(144.7411609059 -37.7561838649)	LINESTRING(144.7410348760 -37.7561397948,144.7412869358 -37.7562279349)
3		1	1	1	11.400	POINT(144.7413030208 -37.7563730954)	LINESTRING(144.7412927062 -37.7563225004,144.7413133355 -37.7564236903)
4	Caroline Springs Blvd	1	1	1	16.276	POINT(144.7398892434 -37.7547047066)	LINESTRING(144.7398967239 -37.7546317770,144.7398817629 -37.7547776361)
6	Ballarat Rd  Western Hwy	83	1	1	130.808	POINT(144.7492721193 -37.7602324834)	LINESTRING(144.7499148338 -37.7605284005,144.7486294047 -37.7599365651)
7	Ballarat Rd  Western Hwy	83	1	1	26.113	POINT(144.7484830808 -37.7597420697)	LINESTRING(144.7485256342 -37.7598545305,144.7484405274 -37.7596296086)
8	Western Fwy	2	2	1	26.285	POINT(144.7005870278 -37.7451385359)	LINESTRING(144.7004532950 -37.7450857715,144.7007207605 -37.7451913003)
9	Western Fwy	2	2	1	5.933	POINT(144.7021716995 -37.7457807853)	LINESTRING(144.7021415018 -37.7457688934,144.7022018972 -37.7457926773)
10	Ballarat Rd  Western Hwy	1	1	1	114.653	POINT(144.7492094893 -37.7596918083)	LINESTRING(144.7486441331 -37.7594351977,144.7497748456 -37.7599484181)
11	Ballarat Rd  Western Hwy	1	1	1	37.451	POINT(144.7501783724 -37.7601218225)	LINESTRING(144.7499926551 -37.7600394547,144.7503640897 -37.7602041902)
12	Hopkins Rd	1	1	1	77.257	POINT(144.7017107151 -37.7487398450)	LINESTRING(144.7019154393 -37.7490480833,144.7018038387 -37.7488606396,144.7017048734 -37.7487103695,144.7015880853 -37.7485373039,144.7015032082 -37.7484355255)
13	Western Hwy	3	1	1	398.627	POINT(144.6689113535 -37.7338788197)	LINESTRING(144.6707587584 -37.7349173361,144.6670639487 -37.7328402888)
14	Western Hwy	3	1	1	86.947	POINT(144.6730843336 -37.7357526346)	LINESTRING(144.6735404399 -37.7359034599,144.6726282272 -37.7356018090)
15		3	1	1	19.768	POINT(144.6038711356 -37.6973727520)	LINESTRING(144.6039712047 -37.6973501272,144.6039545136 -37.6973571026,144.6039379263 -37.6973642669,144.6039211313 -37.6973710532,144.6039038171 -37.6973768941,144.6038854698 -37.6973819865,144.6038667925 -37.6973863854,144.6038478275 -37.6973897420,144.6038286172 -37.6973917072,144.6038108055 -37.6973917288,144.6037930107 -37.6973902611,144.6037752228 -37.6973881977,144.6037574315 -37.6973864321)
