$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
2	3600-7200	44-15@3.2-243: Ferris Rd  Melton Hwy@24.7	15	243	68	61	0	5	1	0.12	0.05		0.99	0.34	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	44-421: Ferris Rd@65.5-20@13.7	421	20	70	66	0	4	0	5.28	5.23		6.07		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	3600-7200	44-421: Ferris Rd@65.5-243: Ferris Rd  Melton Hwy@24.7	421	243	291	279	0	10	2	0.35	0.32		0.74	2.21	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	44-682@3.6-420: Ferris Rd@19.2	682	420	66	51	1	10	4	0.22	0.12	1.04	0.44	0.76	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	44-10393@15.0-19@37.7	10393	19	3	3	0	0	0	3.38	3.38				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	44-10393@15.0-420: Ferris Rd@19.2	10393	420	109	106	0	2	1	0.14	0.12		1.51	0.00	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	44			607	566	1	31	8	0.86	0.83	1.04	1.42	0.97	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	45-499: Zone connector@162.8-95: Melton Hwy@35.1	499	95	1	1	0	0	0	0.00	0.00				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	45-499: Zone connector@162.8-307: Melton Hwy@9.5	499	307	3	3	0	0	0	0.00	0.00				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	45-677: Melton Hwy@21.4-307: Melton Hwy@9.5	677	307	153	148	0	4	1	0.00	0.00		0.00	0.00	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
