$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	3600-7200	44-15@3.2-243: Ferris Rd  Melton Hwy@24.7	15	243	268	253	1	10	3	0.92	0.65	6.37	5.64	3.68	0.05	0.03	0.00	0.54	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44-421: Ferris Rd@65.5-20@13.7	421	20	278	255	2	17	4	5.42	5.23	8.53	7.26	8.18	0.02	0.02	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44-421: Ferris Rd@65.5-243: Ferris Rd  Melton Hwy@24.7	421	243	1126	1074	0	45	7	0.69	0.68		1.02	0.62	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44-682@3.6-420: Ferris Rd@19.2	682	420	241	199	1	34	7	0.95	0.76	4.02	1.74	2.09	0.01	0.00	0.00	0.05	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44-10393@15.0-19@37.7	10393	19	22	21	0	1	0	3.80	3.80		3.85		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	44-10393@15.0-420: Ferris Rd@19.2	10393	420	442	418	0	19	5	0.20	0.18		0.70	0.10	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44			2377	2220	4	126	26	1.23	1.14	6.87	2.39	2.43	0.01	0.01	0.00	0.06	0.00	LOS_A	1	0.00	0.00
1	3600-7200	45-499: Zone connector@162.8-95: Melton Hwy@35.1	499	95	1	1	0	0	0	0.00	0.00				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-499: Zone connector@162.8-307: Melton Hwy@9.5	499	307	9	9	0	0	0	0.00	0.00				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-677: Melton Hwy@21.4-307: Melton Hwy@9.5	677	307	616	585	0	29	2	0.06	0.06		0.08	0.00	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	45-677: Melton Hwy@21.4-500: Zone connector@16.0	677	500	3	3	0	0	0	4.06	4.06				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-680: Melton Hwy@11.3-95: Melton Hwy@35.1	680	95	499	482	1	15	1	0.46	0.41	3.34	1.67	0.38	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	45-680: Melton Hwy@11.3-363: Gateway Dr@7.0	680	363	131	126	0	4	1	6.00	5.91		7.42	11.13	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	45-680: Melton Hwy@11.3-500: Zone connector@16.0	680	500	44	44	0	0	0	3.07	3.07				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-681: Gateway Dr@258.9-95: Melton Hwy@35.1	681	95	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	45			1303	1250	1	48	4	0.92	0.90	3.34	1.19	2.88	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	46-12: Hopkins Rd@68.7-44: Hopkins Rd@23.1	12	44	854	778	2	64	10	1.23	1.13	3.26	2.06	2.73	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	46-12: Hopkins Rd@68.7-104@37.0	12	104	139	126	1	10	2	1.22	1.13	0.94	2.25	2.13	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	46-12: Hopkins Rd@68.7-428@34.4	12	428	27	27	0	0	0	0.26	0.26				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	46-12: Hopkins Rd@68.7-1243: Hopkins Rd@4.1	12	1243	0	0	0	0	0											LOS_A		0.00	0.00
