$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	3600-7200	43-28: Troups Rd N@6.9-13: Western Hwy@23.8	28	13	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	43-609: Western Hwy@95.9-13: Western Hwy@23.8	609	13	329	264	2	49	14	0.04	0.03	0.00	0.08	0.06	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	43-609: Western Hwy@95.9-27: Troups Rd N@5.6	609	27	15	13	0	0	0	1.60	1.37				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	43-944: Western Hwy@45.8-73: Western Hwy@23.3	944	73	1785	1705	6	55	18	0.14	0.14	0.14	0.11	0.12	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	43			2129	1982	8	104	32	0.13	0.13	0.11	0.10	0.10	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44-15@3.2-243: Ferris Rd  Melton Hwy@24.7	15	243	172	161	1	9	0	17.48	17.32	38.11	19.39		10.56	10.63	25.61	8.68		LOS_B	2	3.00	33.07
1	3600-7200	44-421: Ferris Rd@65.5-20@13.7	421	20	4	4	0	0	0	1.26	1.26				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	44-421: Ferris Rd@65.5-243: Ferris Rd  Melton Hwy@24.7	421	243	333	320	0	12	1	10.89	10.89		9.12	33.59	4.89	4.93		2.23	21.77	LOS_B	2	3.41	43.94
1	3600-7200	44-682@3.6-420: Ferris Rd@19.2	682	420	42	38	0	2	2	0.18	0.19		0.15	0.14	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44-10393@15.0-19@37.7	10393	19	26	26	0	0	0	22.40	22.40				14.88	14.88				LOS_C	3	0.84	19.01
1	3600-7200	44-10393@15.0-420: Ferris Rd@19.2	10393	420	42	41	0	1	0	4.30	4.31		3.97		1.35	1.38		0.00		LOS_A	1	0.84	19.01
1	3600-7200	44			619	590	1	24	3	11.97	11.94	38.11	12.01	11.29	6.28	6.33	25.61	4.37	7.26	LOS_B	2	1.45	43.94
1	3600-7200	45-499: Zone connector@162.8-95: Melton Hwy@35.1	499	95	1	1	0	0	0	318.19	318.19				311.09	311.09				LOS_F	6	0.47	6.32
1	3600-7200	45-499: Zone connector@162.8-307: Melton Hwy@9.5	499	307	0	0	0	0	0											LOS_A		0.00	0.00
