$VISION
$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	3600-7200	43-28: Troups Rd N@6.9-13: Western Hwy@23.8	28	13	99	95	0	3	1	0.27	0.25		0.74	0.60	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	43-609: Western Hwy@95.9-13: Western Hwy@23.8	609	13	786	661	5	91	27	1.58	1.58	0.84	1.73	1.39	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	43-609: Western Hwy@95.9-27: Troups Rd N@5.6	609	27	122	112	1	7	2	4.84	4.62	9.54	6.96	7.02	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	43-944: Western Hwy@45.8-73: Western Hwy@23.3	944	73	1744	1646	8	67	21	0.94	0.95	0.97	0.61	0.88	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	43			2751	2514	14	168	51	1.27	1.25	1.53	1.48	1.39	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44-15@3.2-243: Ferris Rd  Melton Hwy@24.7	15	243	203	191	0	9	1	0.60	0.52		1.68	4.14	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44-421: Ferris Rd@65.5-20@13.7	421	20	23	22	1	0	0	3.49	3.40	5.39			0.00	0.00	0.00			LOS_A	1	0.00	0.00
1	3600-7200	44-421: Ferris Rd@65.5-243: Ferris Rd  Melton Hwy@24.7	421	243	352	333	0	15	3	0.31	0.31		0.11	1.37	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44-682@3.6-420: Ferris Rd@19.2	682	420	27	22	0	4	1	1.04	0.45		2.99	6.36	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44-10393@15.0-19@37.7	10393	19	85	85	0	0	0	3.07	3.07				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	44-10393@15.0-420: Ferris Rd@19.2	10393	420	212	207	0	4	0	0.98	0.95		2.87		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	44			902	860	1	32	5	0.90	0.87	5.39	1.26	2.92	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	45-680: Melton Hwy@89.9-95: Melton Hwy@34.6	680	95	375	362	0	9	4	0.24	0.21		0.56	1.64	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	45-680: Melton Hwy@89.9-363: Gateway Dr@6.2	680	363	20	20	0	0	0	2.31	2.31				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-680: Melton Hwy@89.9-500: Zone connector@15.5	680	500	21	21	0	0	0	2.81	2.81				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-271472: Melton Hwy@23.5-307: Melton Hwy@23.4	271472	307	319	308	0	11	0	0.01	0.01		0.00		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	45-271472: Melton Hwy@23.5-363: Gateway Dr@6.2	271472	363	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	45-271472: Melton Hwy@23.5-500: Zone connector@15.5	271472	500	3	3	0	0	0	8.67	8.67				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-271481: Gateway Dr@28.0-95: Melton Hwy@34.6	271481	95	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	45-271481: Gateway Dr@28.0-307: Melton Hwy@23.4	271481	307	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	45-271481: Gateway Dr@28.0-500: Zone connector@15.5	271481	500	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	45-271486: Zone connector@56.9-95: Melton Hwy@34.6	271486	95	1	1	0	0	0	0.00	0.00				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-271486: Zone connector@56.9-307: Melton Hwy@23.4	271486	307	1	1	0	0	0	1.19	1.19				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-271486: Zone connector@56.9-363: Gateway Dr@6.2	271486	363	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	45			740	716	0	20	4	0.30	0.30		0.25	1.64	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
