$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
2	3600-7200	44-15@3.2-243: Ferris Rd  Melton Hwy@24.7	15	243	161	148	1	10	1	0.43	0.40	10.82	0.02	0.00	0.10	0.09	3.72	0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	44-421: Ferris Rd@65.5-20@13.7	421	20	145	134	1	8	2	1.17	0.98	4.39	3.33	3.40	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	44-421: Ferris Rd@65.5-243: Ferris Rd  Melton Hwy@24.7	421	243	574	553	0	17	4	0.92	0.92		1.00	0.04	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	44-682@3.6-420: Ferris Rd@19.2	682	420	132	114	0	14	4	0.14	0.13		0.01	0.85	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	44-10393@15.0-19@37.7	10393	19	10	9	0	1	0	1.54	1.55		1.37		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	3600-7200	44-10393@15.0-420: Ferris Rd@19.2	10393	420	227	214	0	12	1	0.23	0.22		0.32	0.26	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	44			1249	1172	2	62	12	0.68	0.66	7.60	0.79	0.89	0.01	0.01	1.86	0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	45-499: Zone connector@162.8-95: Melton Hwy@35.1	499	95	1	1	0	0	0	0.14	0.14				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	45-499: Zone connector@162.8-307: Melton Hwy@9.5	499	307	2	2	0	0	0	0.02	0.02				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	45-677: Melton Hwy@21.4-307: Melton Hwy@9.5	677	307	299	278	0	19	2	0.03	0.03		0.02	0.04	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	45-677: Melton Hwy@21.4-500: Zone connector@16.0	677	500	3	3	0	0	0	0.57	0.57				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	45-680: Melton Hwy@11.3-95: Melton Hwy@35.1	680	95	275	263	0	10	2	0.30	0.30		0.19	0.33	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	45-680: Melton Hwy@11.3-363: Gateway Dr@7.0	680	363	65	60	0	5	0	0.80	0.67		2.44		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	3600-7200	45-680: Melton Hwy@11.3-500: Zone connector@16.0	680	500	24	23	0	1	0	0.52	0.52		0.54		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	3600-7200	45-681: Gateway Dr@258.9-95: Melton Hwy@35.1	681	95	0	0	0	0	0											LOS_A		0.00	0.00
2	3600-7200	45			669	630	0	35	4	0.24	0.23		0.43	0.18	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	46-12: Hopkins Rd@68.7-44: Hopkins Rd@23.1	12	44	428	390	1	33	4	0.48	0.51	0.07	0.12	0.53	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.07	15.01
2	3600-7200	46-12: Hopkins Rd@68.7-104@37.0	12	104	80	74	0	6	0	0.59	0.63		0.04		0.35	0.38		0.00		LOS_A	1	0.07	15.01
2	3600-7200	46-12: Hopkins Rd@68.7-428@34.4	12	428	14	14	0	0	0	0.06	0.06				0.00	0.00				LOS_A	1	0.07	15.01
2	3600-7200	46-12: Hopkins Rd@68.7-1243: Hopkins Rd@4.1	12	1243	0	0	0	0	0											LOS_A		0.07	15.01
2	3600-7200	46-255: Hopkins Rd@16.9-44: Hopkins Rd@23.1	255	44	0	0	0	0	0											LOS_A		0.00	0.00
2	3600-7200	46-255: Hopkins Rd@16.9-104@37.0	255	104	108	104	1	1	0	0.27	0.27	0.34	0.12		0.00	0.00	0.00	0.00		LOS_A	1	0.00	0.00
2	3600-7200	46-255: Hopkins Rd@16.9-428@34.4	255	428	12	12	0	0	0	0.08	0.08				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	46-255: Hopkins Rd@16.9-1243: Hopkins Rd@4.1	255	1243	340	316	0	18	6	0.22	0.22		0.26	0.33	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	46-257@10.6-44: Hopkins Rd@23.1	257	44	74	57	0	12	5	0.49	0.49		0.36	0.81	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	46-257@10.6-104@37.0	257	104	0	0	0	0	0											LOS_A		0.00	0.00
2	3600-7200	46-257@10.6-428@34.4	257	428	0	0	0	0	0											LOS_A		0.00	0.00
2	3600-7200	46-257@10.6-1243: Hopkins Rd@4.1	257	1243	89	61	1	24	3	0.24	0.29	0.14	0.13	0.23	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	46-429@91.6-44: Hopkins Rd@23.1	429	44	15	15	0	0	0	0.61	0.61				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	46-429@91.6-104@37.0	429	104	0	0	0	0	0											LOS_A		0.00	0.00
2	3600-7200	46-429@91.6-428@34.4	429	428	0	0	0	0	0											LOS_A		0.00	0.00
2	3600-7200	46-429@91.6-1243: Hopkins Rd@4.1	429	1243	6	6	0	0	0	0.39	0.39				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	46			1166	1049	3	94	18	0.37	0.38	0.18	0.18	0.49	0.02	0.03	0.00	0.00	0.00	LOS_A	1	0.02	15.01
2	3600-7200	47-4: Caroline Springs Blvd@6.8-212: Caroline Springs Blvd@4.7	4	212	625	602	1	17	3	0.61	0.54	0.00	0.87	2.75	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	32.00
2	3600-7200	47-4: Caroline Springs Blvd@6.8-446@6.0	4	446	0	0	0	0	0											LOS_A		0.00	32.00
2	3600-7200	47-447@32.5-212: Caroline Springs Blvd@4.7	447	212	2	2	0	0	0	0.03	0.03				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	47-887: Caroline Springs Blvd@16.4-448@12.1	887	448	285	247	0	31	5	0.31	0.30		0.32	0.37	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	47			912	851	1	48	8	0.51	0.47	0.00	0.51	1.27	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	32.00
2	3600-7200	49-351: Delma Rd@85.2-352: Eucumbene Dr@37.8	351	352	0	0	0	0	0											LOS_A		0.00	0.00
2	3600-7200	49-351: Delma Rd@85.2-506: Zone connector@80.7	351	506	13	13	0	0	0	0.15	0.15				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	49-353: Eucumbene Dr@275.9-350: Delma Rd@23.2	353	350	0	0	0	0	0											LOS_A		0.00	0.00
2	3600-7200	49-353: Eucumbene Dr@275.9-506: Zone connector@80.7	353	506	31	31	0	0	0	0.02	0.02				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	49-505: Zone connector@77.8-350: Delma Rd@23.2	505	350	3	2	0	1	0	0.10	0.11		0.09		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	3600-7200	49-505: Zone connector@77.8-352: Eucumbene Dr@37.8	505	352	3	3	0	0	0	0.00	0.00				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	49			50	49	0	1	0	0.06	0.06		0.09		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	3600-7200	50-115: Western Hwy@22.9-209: Ballarat Rd  Western Hwy@28.7	115	209	532	518	0	12	2	0.74	0.73		1.41	0.16	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	50-115: Western Hwy@22.9-283: Christies Rd@7.9	115	283	44	42	0	2	0	0.82	0.73		2.84		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	3600-7200	50-461: Ballarat Rd  Western Hwy@7.1-114: Western Hwy@17.3	461	114	178	155	0	18	5	0.14	0.14		0.19	0.10	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	50-461: Ballarat Rd  Western Hwy@7.1-209: Ballarat Rd  Western Hwy@28.7	461	209	2	1	0	1	0	2.27	1.51		3.04		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	3600-7200	50-461: Ballarat Rd  Western Hwy@7.1-215: Caroline Springs Blvd@5.8	461	215	13	9	0	4	0	0.39	0.02		1.21		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	3600-7200	50-648: Christies Rd@27.9-114: Western Hwy@17.3	648	114	21	13	0	8	0	0.24	0.02		0.60		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	3600-7200	50-648: Christies Rd@27.9-209: Ballarat Rd  Western Hwy@28.7	648	209	63	56	0	6	1	13.04	12.88		14.41	13.67	0.00	0.00		0.00	0.00	LOS_B	2	0.00	0.00
2	3600-7200	50-648: Christies Rd@27.9-215: Caroline Springs Blvd@5.8	648	215	144	121	0	18	3	1.62	1.67		1.34	2.60	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	50-649@8.2-283: Christies Rd@7.9	649	283	74	64	0	10	0	0.10	0.05		0.36		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	3600-7200	50-651@22.8-215: Caroline Springs Blvd@5.8	651	215	128	117	0	9	2	0.43	0.35		1.25	1.78	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	50-652: Caroline Springs Blvd@21.4-114: Western Hwy@17.3	652	114	53	49	0	1	3	0.48	0.37		2.26	1.79	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	50-652: Caroline Springs Blvd@21.4-209: Ballarat Rd  Western Hwy@28.7	652	209	63	59	0	4	0	3.86	3.75		5.61		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	3600-7200	50-652: Caroline Springs Blvd@21.4-283: Christies Rd@7.9	652	283	511	496	1	12	0	0.91	0.91	0.24	0.32		0.00	0.00	0.00	0.00		LOS_A	1	0.00	0.00
2	3600-7200	50			1826	1700	1	105	16	1.27	1.23	0.24	1.83	1.95	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-10: Ballarat Rd  Western Hwy@18.5	7	10	2	2	0	0	0	0.07	0.07				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-385: Chisholm Dr@11.7	7	385	0	0	0	0	0											LOS_A		0.00	0.00
2	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-670: Ballarat Rd  Western Hwy@1.4	7	670	1	1	0	0	0	1.11	1.11				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-671: Panamax Rd@7.5	7	671	0	0	0	0	0											LOS_A		0.00	0.00
2	3600-7200	51-347: Panamax Rd@4.8-10: Ballarat Rd  Western Hwy@18.5	347	10	36	30	0	5	1	0.09	0.09		0.13	0.00	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	51-347: Panamax Rd@4.8-385: Chisholm Dr@11.7	347	385	2	2	0	0	0	0.75	0.75				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	51-347: Panamax Rd@4.8-670: Ballarat Rd  Western Hwy@1.4	347	670	40	36	0	2	2	2.89	2.53		5.88	6.44	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	51-360: Ballarat Rd  Western Hwy@55.2-10: Ballarat Rd  Western Hwy@18.5	360	10	599	577	0	20	2	0.70	0.70		0.83	0.38	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	51-360: Ballarat Rd  Western Hwy@55.2-385: Chisholm Dr@11.7	360	385	5	5	0	0	0	1.50	1.50				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	51-360: Ballarat Rd  Western Hwy@55.2-671: Panamax Rd@7.5	360	671	56	52	0	3	1	0.85	0.77		2.31	0.57	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	51-673: Chisholm Dr@12.9-10: Ballarat Rd  Western Hwy@18.5	673	10	0	0	0	0	0											LOS_A		0.00	0.00
2	3600-7200	51-673: Chisholm Dr@12.9-670: Ballarat Rd  Western Hwy@1.4	673	670	19	17	0	2	0	1.53	1.45		2.15		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	3600-7200	51-673: Chisholm Dr@12.9-671: Panamax Rd@7.5	673	671	4	4	0	0	0	7.83	7.83				0.00	0.00				LOS_A	1	0.00	0.00
