$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX	VEHS(50)	VEHDELAY(50)	STOPDELAY(50)	LOS(50)	LOSVAL(50)
1	3600-7200	44-15@10.7-243: Ferris Rd  Melton Hwy@24.7	15	243	153	141	0	10	0	0.31	0.32		0.14		0.00	0.00		0.00		LOS_A	1	0.00	0.00	2	0.18	0.00	LOS_A	1
1	3600-7200	44-421: Ferris Rd@65.5-20@13.7	421	20	137	124	0	10	3	1.69	1.52		3.31	3.61	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	44-421: Ferris Rd@65.5-243: Ferris Rd  Melton Hwy@24.7	421	243	582	547	0	26	7	0.35	0.33		0.60	0.50	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	2	0.25	0.00	LOS_A	1
1	3600-7200	44-682@2.4-420: Ferris Rd@77.1	682	420	122	98	0	21	3	0.13	0.13		0.13	0.06	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	44-10393@15.0-19@37.7	10393	19	10	10	0	0	0	0.17	0.17				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	44-10393@15.0-420: Ferris Rd@77.1	10393	420	208	200	0	6	0	0.04	0.05		0.00		0.00	0.00		0.00		LOS_A	1	0.00	0.00	2	0.00	0.00	LOS_A	1
1	3600-7200	44			1212	1120	0	73	13	0.42	0.39		0.72	1.11	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	6	0.14	0.00	LOS_A	1
1	3600-7200	45-499: Zone connector@162.8-95: Melton Hwy@34.7	499	95	1	1	0	0	0	0.00	0.00				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	45-499: Zone connector@162.8-307: Melton Hwy@21.7	499	307	5	5	0	0	0	0.04	0.04				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	45-499: Zone connector@162.8-363: Gateway Dr@34.4	499	363	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	3600-7200	45-677: Melton Hwy@21.1-307: Melton Hwy@21.7	677	307	300	286	0	14	0	0.05	0.05		0.07		0.00	0.00		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	45-677: Melton Hwy@21.1-363: Gateway Dr@34.4	677	363	11	11	0	0	0	1.09	1.09				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	45-677: Melton Hwy@21.1-500: Zone connector@16.0	677	500	2	2	0	0	0	3.80	3.80				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	45-680: Melton Hwy@12.0-95: Melton Hwy@34.7	680	95	239	232	0	7	0	0.23	0.22		0.47		0.00	0.00		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	45-680: Melton Hwy@12.0-363: Gateway Dr@34.4	680	363	61	60	0	1	0	3.24	3.21		5.57		0.00	0.00		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	45-680: Melton Hwy@12.0-500: Zone connector@16.0	680	500	23	22	0	1	0	6.72	6.72		6.87		0.00	0.00		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	45-27136: Gateway Dr@1.7-95: Melton Hwy@34.7	27136	95	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	3600-7200	45-27136: Gateway Dr@1.7-307: Melton Hwy@21.7	27136	307	9	8	0	1	0	0.40	0.11		2.68		0.00	0.00		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	45-27136: Gateway Dr@1.7-500: Zone connector@16.0	27136	500	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	3600-7200	45			651	627	0	24	0	0.69	0.68		0.81		0.00	0.00		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	46-12: Hopkins Rd@68.7-44: Hopkins Rd@23.1	12	44	445	394	1	31	6	0.46	0.48	0.36	0.35	0.29	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.01	8.69	13	0.19	0.00	LOS_A	1
1	3600-7200	46-12: Hopkins Rd@68.7-104@37.0	12	104	89	84	0	4	1	0.76	0.80		0.10	0.10	0.01	0.01		0.00	0.00	LOS_A	1	0.01	8.69	0			LOS_A	
1	3600-7200	46-12: Hopkins Rd@68.7-428@34.4	12	428	13	13	0	0	0	0.09	0.09				0.00	0.00				LOS_A	1	0.01	8.69	0			LOS_A	
1	3600-7200	46-12: Hopkins Rd@68.7-1243: Hopkins Rd@4.1	12	1243	0	0	0	0	0											LOS_A		0.01	8.69	0			LOS_A	
1	3600-7200	46-255: Hopkins Rd@16.9-44: Hopkins Rd@23.1	255	44	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
