$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	3600-7200	44-15@3.2-243: Ferris Rd  Melton Hwy@24.7	15	243	291	275	1	11	3	7.00	6.94	25.07	6.74	4.78	1.00	1.02	5.70	0.02	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44-421: Ferris Rd@65.5-20@13.7	421	20	282	256	1	20	5	9.23	8.88	7.96	12.66	13.36	0.49	0.45	0.00	1.17	0.00	LOS_A	1	12.81	140.59
1	3600-7200	44-421: Ferris Rd@65.5-243: Ferris Rd  Melton Hwy@24.7	421	243	1137	1080	0	46	11	20.59	20.50		17.80	40.36	2.34	2.36		1.30	4.93	LOS_C	3	28.42	226.36
1	3600-7200	44-682@3.6-420: Ferris Rd@19.2	682	420	266	213	2	38	13	1.81	1.41	3.26	2.89	4.91	0.02	0.02	0.00	0.00	0.13	LOS_A	1	0.00	0.00
1	3600-7200	44-10393@15.0-19@37.7	10393	19	25	24	0	1	0	5.01	5.13		2.21		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	44-10393@15.0-420: Ferris Rd@19.2	10393	420	450	427	0	19	4	0.48	0.45		0.90	1.67	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44			2451	2275	4	135	36	11.78	11.84	9.89	9.45	16.55	1.26	1.30	1.42	0.62	1.55	LOS_B	2	8.25	226.36
1	3600-7200	45-499: Zone connector@162.8-95: Melton Hwy@35.1	499	95	2	2	0	0	0	0.00	0.00				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-499: Zone connector@162.8-307: Melton Hwy@9.5	499	307	13	13	0	0	0	0.00	0.00				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-677: Melton Hwy@21.4-307: Melton Hwy@9.5	677	307	622	588	0	30	4	0.15	0.15		0.11	0.06	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	45-677: Melton Hwy@21.4-500: Zone connector@16.0	677	500	4	4	0	0	0	3.84	3.84				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-680: Melton Hwy@11.3-95: Melton Hwy@35.1	680	95	527	512	1	14	0	1.16	1.13	2.92	2.18		0.00	0.00	0.00	0.00		LOS_A	1	0.00	0.00
1	3600-7200	45-680: Melton Hwy@11.3-363: Gateway Dr@7.0	680	363	141	132	0	6	3	6.71	6.54		9.18	9.26	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	45-680: Melton Hwy@11.3-500: Zone connector@16.0	680	500	41	41	0	0	0	3.88	3.88				0.03	0.03				LOS_A	1	0.00	0.00
1	3600-7200	45-681: Gateway Dr@258.9-95: Melton Hwy@35.1	681	95	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	45			1350	1292	1	50	7	1.35	1.32	2.92	1.78	4.00	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	46-12: Hopkins Rd@68.7-44: Hopkins Rd@23.1	12	44	875	793	2	67	13	3.60	3.54	4.42	3.78	6.16	0.10	0.10	0.00	0.20	0.00	LOS_A	1	1.28	88.16
1	3600-7200	46-12: Hopkins Rd@68.7-104@37.0	12	104	144	128	0	11	5	4.99	4.54		5.08	16.24	0.60	0.36		0.34	7.45	LOS_A	1	1.28	88.16
1	3600-7200	46-12: Hopkins Rd@68.7-428@34.4	12	428	28	28	0	0	0	1.93	1.93				0.27	0.27				LOS_A	1	1.28	88.16
1	3600-7200	46-12: Hopkins Rd@68.7-1243: Hopkins Rd@4.1	12	1243	0	0	0	0	0											LOS_A		1.28	88.16
1	3600-7200	46-255: Hopkins Rd@16.9-44: Hopkins Rd@23.1	255	44	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	46-255: Hopkins Rd@16.9-104@37.0	255	104	217	213	1	2	0	1.23	1.22	3.22	2.17		0.00	0.00	0.00	0.00		LOS_A	1	0.00	0.00
1	3600-7200	46-255: Hopkins Rd@16.9-428@34.4	255	428	25	25	0	0	0	0.62	0.62				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	46-255: Hopkins Rd@16.9-1243: Hopkins Rd@4.1	255	1243	669	618	4	39	8	1.15	1.08	3.51	1.54	2.75	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	46-257@10.6-44: Hopkins Rd@23.1	257	44	145	116	0	26	3	16.66	19.89		4.09	0.72	14.42	17.63		1.74	0.00	LOS_C	3	0.00	0.00
1	3600-7200	46-257@10.6-104@37.0	257	104	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	46-257@10.6-428@34.4	257	428	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	46-257@10.6-1243: Hopkins Rd@4.1	257	1243	177	126	2	43	6	1.00	0.79	3.57	1.36	1.84	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	46-429@91.6-44: Hopkins Rd@23.1	429	44	39	39	0	0	0	0.49	0.49				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	46-429@91.6-104@37.0	429	104	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	46-429@91.6-428@34.4	429	428	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	46-429@91.6-1243: Hopkins Rd@4.1	429	1243	13	13	0	0	0	0.52	0.52				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	46			2332	2099	9	188	35	3.26	3.25	3.70	2.86	5.61	0.98	1.04	0.00	0.33	1.06	LOS_A	1	0.32	88.16
1	3600-7200	47-4: Caroline Springs Blvd@6.8-212: Caroline Springs Blvd@4.7	4	212	1345	1297	1	41	4	2.26	2.24	1.53	2.10	0.62	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.18	52.18
1	3600-7200	47-4: Caroline Springs Blvd@6.8-446@6.0	4	446	0	0	0	0	0											LOS_A		0.18	52.18
1	3600-7200	47-447@32.5-212: Caroline Springs Blvd@4.7	447	212	5	5	0	0	0	3.06	3.06				0.23	0.23				LOS_A	1	0.00	0.00
1	3600-7200	47-887: Caroline Springs Blvd@16.4-448@12.1	887	448	576	513	0	52	9	0.50	0.46		0.79	0.97	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	47			1926	1815	1	93	13	1.73	1.74	1.53	1.36	0.86	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.06	52.18
1	3600-7200	49-351: Delma Rd@85.2-352: Eucumbene Dr@37.8	351	352	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	49-351: Delma Rd@85.2-506: Zone connector@80.7	351	506	18	18	0	0	0	2.69	2.69				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	49-353: Eucumbene Dr@275.9-350: Delma Rd@23.2	353	350	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	49-353: Eucumbene Dr@275.9-506: Zone connector@80.7	353	506	64	64	0	0	0	1.34	1.34				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	49-505: Zone connector@77.8-350: Delma Rd@23.2	505	350	4	1	0	3	0	0.00	0.00		0.00		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	49-505: Zone connector@77.8-352: Eucumbene Dr@37.8	505	352	1	0	0	1	0	0.00			0.00		0.00			0.00		LOS_A	1	0.00	0.00
1	3600-7200	49			87	83	0	4	0	1.54	1.61		0.00		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	50-115: Western Hwy@22.9-209: Ballarat Rd  Western Hwy@28.7	115	209	1038	1006	1	28	3	0.67	0.67	1.31	0.78	0.42	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	50-115: Western Hwy@22.9-283: Christies Rd@7.9	115	283	103	100	2	1	0	1.19	1.09	5.24	3.09		0.00	0.00	0.00	0.00		LOS_A	1	0.00	0.00
1	3600-7200	50-461: Ballarat Rd  Western Hwy@7.1-114: Western Hwy@17.3	461	114	339	301	1	32	5	0.30	0.23	0.00	0.65	1.88	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.45	14.90
