$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
2	3600-7200	44-15@3.2-243: Ferris Rd  Melton Hwy@24.7	15	243	206	188	1	11	5	0.47	0.42	4.48	0.58	0.92	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	44-421: Ferris Rd@65.5-20@13.7	421	20	93	92	0	0	1	5.22	5.20			6.60	0.03	0.03			0.00	LOS_A	1	0.00	0.00
2	3600-7200	44-421: Ferris Rd@65.5-243: Ferris Rd  Melton Hwy@24.7	421	243	309	270	2	21	16	0.57	0.44	0.09	1.91	1.11	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	44-682@3.6-420: Ferris Rd@19.2	682	420	149	129	0	15	5	0.51	0.31		2.31	0.34	0.02	0.00		0.20	0.00	LOS_A	1	0.00	0.00
2	3600-7200	44-10393@15.0-19@37.7	10393	19	31	30	0	1	0	3.57	3.58		3.26		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	3600-7200	44-10393@15.0-420: Ferris Rd@19.2	10393	420	230	217	1	4	8	0.25	0.19	3.80	1.33	0.88	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	44			1018	926	4	52	35	0.98	0.93	2.12	1.73	1.08	0.01	0.00	0.00	0.06	0.00	LOS_A	1	0.00	0.00
2	3600-7200	45-499: Zone connector@162.8-95: Melton Hwy@35.1	499	95	56	56	0	0	0	0.12	0.12				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	45-499: Zone connector@162.8-307: Melton Hwy@9.5	499	307	40	38	0	0	2	0.06	0.06			0.00	0.00	0.00			0.00	LOS_A	1	0.00	0.00
2	3600-7200	45-677: Melton Hwy@21.4-307: Melton Hwy@9.5	677	307	163	149	0	8	6	0.06	0.06		0.00	0.08	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	45-677: Melton Hwy@21.4-500: Zone connector@16.0	677	500	31	31	0	0	0	4.16	4.16				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	45-680: Melton Hwy@11.3-95: Melton Hwy@35.1	680	95	233	211	1	16	5	0.50	0.44	2.44	0.72	1.77	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	45-680: Melton Hwy@11.3-363: Gateway Dr@7.0	680	363	9	7	0	0	2	5.43	5.23			6.14	0.00	0.00			0.00	LOS_A	1	0.00	0.00
2	3600-7200	45-680: Melton Hwy@11.3-500: Zone connector@16.0	680	500	33	29	0	2	2	3.47	3.37		4.67	3.70	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	45-681: Gateway Dr@258.9-95: Melton Hwy@35.1	681	95	1	1	0	0	0	0.00	0.00				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	45			566	522	1	26	17	0.75	0.72	2.44	0.80	1.71	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	46-12: Hopkins Rd@68.7-44: Hopkins Rd@23.1	12	44	284	252	1	21	10	0.63	0.59	0.47	0.70	1.69	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	46-12: Hopkins Rd@68.7-104@37.0	12	104	74	65	1	5	3	1.14	1.17	2.47	1.04	0.20	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	46-12: Hopkins Rd@68.7-428@34.4	12	428	6	6	0	0	0	0.16	0.16				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	46-12: Hopkins Rd@68.7-1243: Hopkins Rd@4.1	12	1243	0	0	0	0	0											LOS_A		0.00	0.00
2	3600-7200	46-255: Hopkins Rd@16.9-44: Hopkins Rd@23.1	255	44	0	0	0	0	0											LOS_A		0.00	0.00
2	3600-7200	46-255: Hopkins Rd@16.9-104@37.0	255	104	93	85	0	3	3	0.43	0.33		1.83	1.73	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	46-255: Hopkins Rd@16.9-428@34.4	255	428	9	9	0	0	0	0.16	0.16				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	46-255: Hopkins Rd@16.9-1243: Hopkins Rd@4.1	255	1243	132	121	0	8	3	0.35	0.26		1.34	1.14	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	46-257@10.6-44: Hopkins Rd@23.1	257	44	184	173	0	7	4	0.21	0.14		1.27	1.59	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	46-257@10.6-104@37.0	257	104	0	0	0	0	0											LOS_A		0.00	0.00
2	3600-7200	46-257@10.6-428@34.4	257	428	0	0	0	0	0											LOS_A		0.00	0.00
2	3600-7200	46-257@10.6-1243: Hopkins Rd@4.1	257	1243	168	151	1	12	4	0.41	0.23	4.07	1.95	2.00	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	46-429@91.6-44: Hopkins Rd@23.1	429	44	36	36	0	0	0	0.11	0.11				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	46-429@91.6-104@37.0	429	104	0	0	0	0	0											LOS_A		0.00	0.00
2	3600-7200	46-429@91.6-428@34.4	429	428	0	0	0	0	0											LOS_A		0.00	0.00
2	3600-7200	46-429@91.6-1243: Hopkins Rd@4.1	429	1243	5	5	0	0	0	0.10	0.10				0.00	0.00				LOS_A	1	0.00	0.00
2	3600-7200	46			991	903	3	56	27	0.47	0.39	2.34	1.22	1.50	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	3600-7200	47-4: Caroline Springs Blvd@6.8-212: Caroline Springs Blvd@4.7	4	212	212	184	0	16	10	1.26	1.10		0.77	1.24	0.00	0.00		0.00	0.00	LOS_A	1	0.01	32.10
2	3600-7200	47-4: Caroline Springs Blvd@6.8-446@6.0	4	446	3	3	0	0	0	0.00	0.00				0.00	0.00				LOS_A	1	0.01	32.10
