$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	3600-7200	44-15@3.2-243: Ferris Rd  Melton Hwy@24.7	15	243	410	377	1	20	11	0.93	0.93	0.00	0.77	1.27	0.30	0.30	0.00	0.17	0.62	LOS_A	1	0.00	0.00
1	3600-7200	44-421: Ferris Rd@65.5-20@13.7	421	20	178	177	0	0	1	0.68	0.66			3.58	0.00	0.00			0.00	LOS_A	1	0.00	0.00
1	3600-7200	44-421: Ferris Rd@65.5-243: Ferris Rd  Melton Hwy@24.7	421	243	622	566	2	37	17	1.33	1.37	0.23	0.83	1.09	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44-682@3.6-420: Ferris Rd@19.2	682	420	289	257	1	27	4	0.57	0.51	4.27	0.83	1.63	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44-10393@15.0-19@37.7	10393	19	68	64	0	4	0	1.30	1.30		1.26		0.02	0.02		0.00		LOS_A	1	0.00	0.00
1	3600-7200	44-10393@15.0-420: Ferris Rd@19.2	10393	420	436	416	1	13	6	0.57	0.57	0.07	0.43	0.37	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44			2003	1857	5	101	39	0.91	0.91	0.96	0.79	1.15	0.06	0.06	0.00	0.03	0.17	LOS_A	1	0.00	0.00
1	3600-7200	45-499: Zone connector@162.8-95: Melton Hwy@35.1	499	95	110	110	0	0	0	0.22	0.22				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-499: Zone connector@162.8-307: Melton Hwy@9.5	499	307	89	76	0	8	5	0.20	0.21		0.08	0.14	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	45-677: Melton Hwy@21.4-307: Melton Hwy@9.5	677	307	316	286	0	20	10	0.14	0.14		0.08	0.20	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	45-677: Melton Hwy@21.4-500: Zone connector@16.0	677	500	61	61	0	0	0	0.72	0.72				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-680: Melton Hwy@11.3-95: Melton Hwy@35.1	680	95	450	416	1	21	12	0.73	0.70	0.00	0.64	1.81	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	45-680: Melton Hwy@11.3-363: Gateway Dr@7.0	680	363	28	28	0	0	0	0.71	0.71				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-680: Melton Hwy@11.3-500: Zone connector@16.0	680	500	72	66	0	5	1	0.55	0.52		0.73	1.83	0.05	0.06		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	45-681: Gateway Dr@258.9-95: Melton Hwy@35.1	681	95	3	3	0	0	0	0.05	0.05				0.00	0.00				LOS_A	1	0.00	0.00
