$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	3600-7200	43-28: Troups Rd N@6.9-13: Western Hwy@23.8	28	13	125	116	0	7	2	0.32	0.29		0.66	0.71	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	43-609: Western Hwy@95.9-13: Western Hwy@23.8	609	13	2107	1996	6	73	30	3.49	3.47	2.75	3.50	4.89	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	43-609: Western Hwy@95.9-27: Troups Rd N@5.6	609	27	357	356	0	1	0	4.73	4.73		6.83		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	43-944: Western Hwy@45.8-73: Western Hwy@23.3	944	73	1320	1126	24	102	66	0.73	0.77	0.56	0.50	0.49	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	43			3909	3594	30	183	98	2.57	2.65	1.00	1.74	1.84	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44-15@3.2-243: Ferris Rd  Melton Hwy@24.7	15	243	359	331	0	21	5	1.02	0.80		3.80	2.99	0.05	0.00		0.84	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44-421: Ferris Rd@65.5-20@13.7	421	20	84	80	0	1	3	4.71	4.41		5.12	12.46	0.28	0.11		0.00	4.68	LOS_A	1	0.02	10.88
1	3600-7200	44-421: Ferris Rd@65.5-243: Ferris Rd  Melton Hwy@24.7	421	243	440	398	0	27	13	0.92	0.94		0.89	0.28	0.01	0.02		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44-682@3.6-420: Ferris Rd@19.2	682	420	115	106	0	9	0	0.92	0.77		2.58		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	44-10393@15.0-19@37.7	10393	19	82	82	0	0	0	2.85	2.85				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	44-10393@15.0-420: Ferris Rd@19.2	10393	420	363	342	2	11	6	1.23	1.26	1.97	0.68	0.70	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44			1443	1339	2	69	27	1.35	1.30	1.97	2.02	2.23	0.03	0.01	0.00	0.26	0.52	LOS_A	1	0.00	10.88
1	3600-7200	45-680: Melton Hwy@89.9-95: Melton Hwy@34.6	680	95	454	429	0	18	7	0.40	0.37		0.94	1.09	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	45-680: Melton Hwy@89.9-363: Gateway Dr@6.2	680	363	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	45-680: Melton Hwy@89.9-500: Zone connector@15.5	680	500	58	53	0	4	1	3.52	3.39		4.72	5.45	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	45-271472: Melton Hwy@23.5-307: Melton Hwy@23.4	271472	307	257	238	0	12	7	0.34	0.36		0.10	0.00	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	45-271472: Melton Hwy@23.5-363: Gateway Dr@6.2	271472	363	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	45-271472: Melton Hwy@23.5-500: Zone connector@15.5	271472	500	65	65	0	0	0	8.66	8.66				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-271481: Gateway Dr@28.0-95: Melton Hwy@34.6	271481	95	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	45-271481: Gateway Dr@28.0-307: Melton Hwy@23.4	271481	307	8	8	0	0	0	2.67	2.67				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-271481: Gateway Dr@28.0-500: Zone connector@15.5	271481	500	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	45-271486: Zone connector@56.9-95: Melton Hwy@34.6	271486	95	116	116	0	0	0	0.25	0.25				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-271486: Zone connector@56.9-307: Melton Hwy@23.4	271486	307	89	79	0	6	4	1.48	1.24		3.29	3.57	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	45-271486: Zone connector@56.9-363: Gateway Dr@6.2	271486	363	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	45			1047	988	0	40	19	1.16	1.15		1.42	1.44	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	46-12: Hopkins Rd@68.9-44: Hopkins Rd@23.1	12	44	653	562	4	47	27	2.02	2.02	1.68	1.98	2.62	0.02	0.02	0.00	0.00	0.07	LOS_A	1	0.00	0.00
1	3600-7200	46-12: Hopkins Rd@68.9-104@37.0	12	104	109	106	0	2	1	0.86	0.85		1.44	0.01	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	46-12: Hopkins Rd@68.9-428@34.4	12	428	12	12	0	0	0	2.25	2.25				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	46-12: Hopkins Rd@68.9-1243: Hopkins Rd@4.3	12	1243	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	46-255: Hopkins Rd@17.0-44: Hopkins Rd@23.1	255	44	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	46-255: Hopkins Rd@17.0-104@37.0	255	104	180	172	0	4	2	1.37	1.36		0.90	4.25	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	46-255: Hopkins Rd@17.0-428@34.4	255	428	5	5	0	0	0	3.88	3.88				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	46-255: Hopkins Rd@17.0-1243: Hopkins Rd@4.3	255	1243	501	454	2	18	14	1.37	1.30	2.81	2.26	2.27	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	46-257@11.2-44: Hopkins Rd@23.1	257	44	61	48	0	13	0	1.72	1.72		1.75		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	46-257@11.2-104@37.0	257	104	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	46-257@11.2-428@34.4	257	428	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	46-257@11.2-1243: Hopkins Rd@4.3	257	1243	122	112	1	9	0	1.26	1.06	8.45	2.94		0.03	0.03	0.00	0.00		LOS_A	1	0.00	0.00
1	3600-7200	46-429: 7-Eleven NA@91.6-44: Hopkins Rd@23.1	429	44	57	57	0	0	0	1.43	1.43				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	46-429: 7-Eleven NA@91.6-104@37.0	429	104	11	11	0	0	0	0.14	0.14				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	46-429: 7-Eleven NA@91.6-428@34.4	429	428	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	46-429: 7-Eleven NA@91.6-1243: Hopkins Rd@4.3	429	1243	7	7	0	0	0	0.02	0.02				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	46			1718	1546	7	93	44	1.59	1.54	2.97	2.04	2.52	0.01	0.01	0.00	0.00	0.04	LOS_A	1	0.00	0.00
1	3600-7200	47-4: Caroline Springs Blvd@6.8-212: Caroline Springs Blvd@4.6	4	212	381	321	0	27	16	2.06	1.19		1.32	1.76	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
