$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX	VEHS(50)	VEHDELAY(50)	STOPDELAY(50)	LOS(50)	LOSVAL(50)
1	3600-7200	44-15@10.7-243: Ferris Rd  Melton Hwy@24.7	15	243	432	396	2	23	9	0.45	0.37	10.82	1.02	0.43	0.10	0.05	6.52	0.40	0.00	LOS_A	1	0.00	0.00	2	0.57	0.00	LOS_A	1
1	3600-7200	44-421: Ferris Rd@65.5-20@13.7	421	20	187	183	0	1	3	1.54	1.49		3.57	3.97	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	44-421: Ferris Rd@65.5-243: Ferris Rd  Melton Hwy@24.7	421	243	624	565	3	37	17	0.65	0.66	0.23	0.57	0.90	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00	2	0.54	0.00	LOS_A	1
1	3600-7200	44-682@2.4-420: Ferris Rd@77.1	682	420	299	267	2	24	6	0.25	0.25	0.05	0.26	0.21	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	44-10393@15.0-19@37.7	10393	19	81	77	0	4	0	0.28	0.27		0.50		0.00	0.00		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	44-10393@15.0-420: Ferris Rd@77.1	10393	420	467	442	3	10	10	0.22	0.22	0.00	0.26	0.25	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00	2	0.15	0.00	LOS_A	1
1	3600-7200	44			2090	1930	10	99	45	0.52	0.50	2.24	0.59	0.77	0.02	0.01	1.30	0.09	0.00	LOS_A	1	0.00	0.00	6	0.42	0.00	LOS_A	1
1	3600-7200	45-499: Zone connector@162.8-95: Melton Hwy@34.7	499	95	110	110	0	0	0	0.27	0.27				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	45-499: Zone connector@162.8-307: Melton Hwy@21.7	499	307	87	73	0	8	6	0.29	0.28		0.49	0.21	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	45-499: Zone connector@162.8-363: Gateway Dr@34.4	499	363	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	3600-7200	45-677: Melton Hwy@21.1-307: Melton Hwy@21.7	677	307	315	287	0	17	11	0.21	0.22		0.14	0.17	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	45-677: Melton Hwy@21.1-363: Gateway Dr@34.4	677	363	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	3600-7200	45-677: Melton Hwy@21.1-500: Zone connector@16.0	677	500	62	62	0	0	0	4.17	4.17				0.00	0.00				LOS_A	1	0.01	10.92	0			LOS_A	
1	3600-7200	45-680: Melton Hwy@12.0-95: Melton Hwy@34.7	680	95	470	431	2	25	12	0.22	0.22	0.00	0.19	0.23	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
